=========+=================+=================+============
Processo | Tempo total     | Tempo total     | Tempo total
         | em estado Ready | em estado Wait  | no sistema
=========+=================+=================+============
100       | 11               | 0               | 1
101       | 299               | 0               | 31
102       | 0               | 0               | 1
103       | 4               | 0               | 58
104       | 1               | 0               | 134
105       | 117               | 0               | 10
106       | 274               | 7               | 29
107       | 31               | 0               | 11
108       | 145               | 7               | 36
109       | 293               | 13               | 82
110       | 325               | 0               | 15
111       | 223               | 0               | 1
112       | 265               | 0               | 32
113       | 19               | 13               | 13
114       | 358               | 1               | 82
115       | 2               | 0               | 110
116       | 7               | 0               | 15
117       | 390               | 9               | 37
118       | 4               | 0               | 1
119       | 0               | 0               | 99
120       | 2               | 4               | 31
121       | 334               | 10               | 90
122       | 353               | 0               | 11
123       | 189               | 4               | 29
124       | 16               | 15               | 12
125       | 2               | 0               | 1
126       | 432               | 5               | 43
127       | 0               | 0               | 2
128       | 4               | 0               | 63
129       | 0               | 0               | 33
130       | 25               | 0               | 33
131       | 341               | 0               | 29
132       | 602               | 0               | 25
133       | 324               | 0               | 89
134       | 643               | 0               | 44
135       | 151               | 0               | 6
136       | 146               | 0               | 17
137       | 6               | 0               | 49
138       | 0               | 0               | 9
139       | 15               | 0               | 7
140       | 18               | 13               | 45
141       | 227               | 23               | 16
142       | 1               | 0               | 5
143       | 6               | 13               | 125
144       | 6               | 0               | 67
145       | 389               | 0               | 21
146       | 220               | 0               | 19
147       | 373               | 0               | 29
148       | 12               | 10               | 45
149       | 536               | 3               | 105
150       | 684               | 0               | 18
151       | 48               | 0               | 1
152       | 288               | 8               | 33
153       | 211               | 0               | 1
154       | 30               | 1               | 19
155       | 1               | 0               | 125
156       | 107               | 0               | 1
157       | 228               | 0               | 29
158       | 1               | 0               | 1
159       | 11               | 2               | 20
160       | 194               | 5               | 38
161       | 540               | 1               | 40
162       | 29               | 0               | 29
163       | 0               | 0               | 5
164       | 209               | 4               | 49
165       | 1               | 3               | 11
166       | 69               | 2               | 58
167       | 25               | 0               | 19
168       | 17               | 0               | 1
169       | 411               | 1               | 92
170       | 528               | 0               | 42
171       | 27               | 0               | 19
172       | 19               | 0               | 1
173       | 0               | 3               | 17
174       | 392               | 11               | 19
175       | 189               | 1               | 31
176       | 195               | 0               | 52
177       | 552               | 2               | 80
178       | 346               | 1               | 103
179       | 0               | 0               | 28
180       | 1               | 0               | 71
181       | 1               | 1               | 15
182       | 227               | 4               | 36
183       | 285               | 0               | 70
184       | 108               | 10               | 9
185       | 1               | 1               | 152
186       | 650               | 0               | 18
187       | 3               | 0               | 49
188       | 485               | 0               | 40
189       | 2               | 0               | 113
190       | 547               | 2               | 87
191       | 348               | 0               | 30
192       | 470               | 3               | 41
193       | 77               | 3               | 21
194       | 204               | 0               | 63
195       | 227               | 0               | 49
196       | 651               | 13               | 10
197       | 67               | 2               | 6
198       | 389               | 0               | 32
199       | 454               | 9               | 21
=========+=================+=================+============
Tempo total de simula├º├úo.: 761
N├║mero de processos......: 100
